Removed Pin From Net: NetName=NetC3_1 Pin=L1-1
Removed Pin From Net: NetName=GND Pin=P1-7
Removed Pin From Net: NetName=+3V3 Pin=R16-1
Removed Pin From Net: NetName=CHANNEL_A Pin=R16-2
Removed Pin From Net: NetName=+3V3 Pin=R17-1
Removed Pin From Net: NetName=CHANNEL_B Pin=R17-2
Removed Pin From Net: NetName=PEC12R_SW Pin=R20-1
Removed Pin From Net: NetName=GND Pin=R20-2
Removed Pin From Net: NetName=NetQ6_1 Pin=R23-2
Removed Pin From Net: NetName=SWITCH Pin=R24-1
Removed Pin From Net: NetName=GND Pin=R24-2
Removed Pin From Net: NetName=NetQ9_1 Pin=R31-2
Removed Pin From Net: NetName=NetQ11_1 Pin=R34-2
Removed Pin From Net: NetName=NetC35_1 Pin=R38-1
Removed Pin From Net: NetName=+3V3 Pin=R38-2
Removed Pin From Net: NetName=NetC3_1 Pin=U1-5
Removed Pin From Net: NetName=NetC3_2 Pin=U1-6
Removed Member From Class: ClassName=SchemaC-mcu Member=R38
Removed Member From Class: ClassName=PowerLine Member=NetC3_1
Change Component Footprint: Designator=C3 Old Footprint=FP-C0805C-DN-MFG New Footprint=FP-CL21-IPC_C
Change Component Footprint: Designator=R9 Old Footprint=RESC2013X60X35ML10T20 New Footprint=RESC2013X60X35NL10T20
Change Component Footprint: Designator=R10 Old Footprint=RESC2013X60X35ML10T20 New Footprint=RESC2013X60X35NL10T20
Change Component Footprint: Designator=R11 Old Footprint=RESC2013X60X35ML10T20 New Footprint=RESC2013X60X35NL10T20
Change Component Footprint: Designator=R14 Old Footprint=RESC2013X60X35ML10T20 New Footprint=RESC2013X60X35NL10T20
Change Component Footprint: Designator=R15 Old Footprint=RESC2013X60X35ML10T20 New Footprint=RESC2013X60X35NL10T20
Change Component Footprint: Designator=R16 Old Footprint=RESC2013X60X35ML10T20 New Footprint=RESC2013X60X35NL10T20
Change Component Footprint: Designator=R17 Old Footprint=RESC2013X60X35ML10T20 New Footprint=RESC2013X60X35NL10T20
Change Component Footprint: Designator=R20 Old Footprint=RESC2013X60X35ML10T20 New Footprint=RESC2013X60X35NL10T20
Change Component Footprint: Designator=R23 Old Footprint=RESC2013X60X35ML10T20 New Footprint=RESC2013X60X35NL10T20
Change Component Footprint: Designator=R24 Old Footprint=RESC2013X60X35ML10T20 New Footprint=RESC2013X60X35NL10T20
Change Component Footprint: Designator=R29 Old Footprint=RESC2013X60X35ML10T20 New Footprint=RESC2013X60X35NL10T20
Change Component Footprint: Designator=R31 Old Footprint=RESC2013X60X35ML10T20 New Footprint=RESC2013X60X35NL10T20
Change Component Footprint: Designator=R34 Old Footprint=RESC2013X60X35ML10T20 New Footprint=RESC2013X60X35NL10T20
Change Component Footprint: Designator=R36 Old Footprint=RESC2013X60X35ML10T20 New Footprint=RESC2013X60X35NL10T20
Change Component Comment : Designator=C3 Old Comment=C0805C104K1RACAUTO New Comment=CL21B104KBCNNNC
Change Component Comment : Designator=R9 Old Comment=RC0805JR-0710KL New Comment=RC0805FR-0747KL
Change Component Comment : Designator=R10 Old Comment=RC0805JR-0710KL New Comment=RC0805FR-0747KL
Change Component Comment : Designator=R11 Old Comment=RC0805JR-0710KL New Comment=RC0805FR-0747KL
Change Component Comment : Designator=R14 Old Comment=RC0805JR-0710KL New Comment=RC0805FR-0747KL
Change Component Comment : Designator=R15 Old Comment=RC0805JR-0710KL New Comment=RC0805FR-0747KL
Change Component Comment : Designator=R16 Old Comment=RC0805JR-0710KL New Comment=RC0805FR-0747KL
Change Component Comment : Designator=R17 Old Comment=RC0805JR-0710KL New Comment=RC0805FR-0747KL
Change Component Comment : Designator=R20 Old Comment=RC0805JR-0710KL New Comment=RC0805FR-0747KL
Change Component Comment : Designator=R23 Old Comment=RC0805JR-0710KL New Comment=RC0805FR-0747KL
Change Component Comment : Designator=R24 Old Comment=RC0805JR-0710KL New Comment=RC0805FR-0747KL
Change Component Comment : Designator=R29 Old Comment=RC0805JR-0710KL New Comment=RC0805FR-0747KL
Change Component Comment : Designator=R31 Old Comment=RC0805JR-0710KL New Comment=RC0805FR-0747KL
Change Component Comment : Designator=R34 Old Comment=RC0805JR-0710KL New Comment=RC0805FR-0747KL
Change Component Comment : Designator=R36 Old Comment=RC0805JR-0710KL New Comment=RC0805FR-0747KL
Change Managed Component Library Link : Designator=C3 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=1428D031-A3C0-414E-AE2E-8E9086ACE011 New ItemGUID=61E04106-DE8B-442B-B29C-841CA1FE2F44 Old RevisionGUID=15CF1382-7BE2-4E37-AD1F-8E8CEF42BB42 New RevisionGUID=D20C3FDB-410C-4E99-88BF-6578D964ADE7
Change Managed Component Library Link : Designator=R9 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=F67337B7-1964-4254-8A8E-397C8FD82CDB New ItemGUID=F60048A3-D561-484D-B156-4DCD9BBF6D49 Old RevisionGUID=B7731758-3B90-48E6-ADF9-74525FFC2A01 New RevisionGUID=58C2A00D-8321-4E64-814A-C3FF86DDDFC4
Change Managed Component Library Link : Designator=R10 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=F67337B7-1964-4254-8A8E-397C8FD82CDB New ItemGUID=F60048A3-D561-484D-B156-4DCD9BBF6D49 Old RevisionGUID=B7731758-3B90-48E6-ADF9-74525FFC2A01 New RevisionGUID=58C2A00D-8321-4E64-814A-C3FF86DDDFC4
Change Managed Component Library Link : Designator=R11 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=F67337B7-1964-4254-8A8E-397C8FD82CDB New ItemGUID=F60048A3-D561-484D-B156-4DCD9BBF6D49 Old RevisionGUID=B7731758-3B90-48E6-ADF9-74525FFC2A01 New RevisionGUID=58C2A00D-8321-4E64-814A-C3FF86DDDFC4
Change Managed Component Library Link : Designator=R14 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=F67337B7-1964-4254-8A8E-397C8FD82CDB New ItemGUID=F60048A3-D561-484D-B156-4DCD9BBF6D49 Old RevisionGUID=B7731758-3B90-48E6-ADF9-74525FFC2A01 New RevisionGUID=58C2A00D-8321-4E64-814A-C3FF86DDDFC4
Change Managed Component Library Link : Designator=R15 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=F67337B7-1964-4254-8A8E-397C8FD82CDB New ItemGUID=F60048A3-D561-484D-B156-4DCD9BBF6D49 Old RevisionGUID=B7731758-3B90-48E6-ADF9-74525FFC2A01 New RevisionGUID=58C2A00D-8321-4E64-814A-C3FF86DDDFC4
Change Managed Component Library Link : Designator=R16 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=F67337B7-1964-4254-8A8E-397C8FD82CDB New ItemGUID=F60048A3-D561-484D-B156-4DCD9BBF6D49 Old RevisionGUID=B7731758-3B90-48E6-ADF9-74525FFC2A01 New RevisionGUID=58C2A00D-8321-4E64-814A-C3FF86DDDFC4
Change Managed Component Library Link : Designator=R17 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=F67337B7-1964-4254-8A8E-397C8FD82CDB New ItemGUID=F60048A3-D561-484D-B156-4DCD9BBF6D49 Old RevisionGUID=B7731758-3B90-48E6-ADF9-74525FFC2A01 New RevisionGUID=58C2A00D-8321-4E64-814A-C3FF86DDDFC4
Change Managed Component Library Link : Designator=R20 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=F67337B7-1964-4254-8A8E-397C8FD82CDB New ItemGUID=F60048A3-D561-484D-B156-4DCD9BBF6D49 Old RevisionGUID=B7731758-3B90-48E6-ADF9-74525FFC2A01 New RevisionGUID=58C2A00D-8321-4E64-814A-C3FF86DDDFC4
Change Managed Component Library Link : Designator=R23 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=F67337B7-1964-4254-8A8E-397C8FD82CDB New ItemGUID=F60048A3-D561-484D-B156-4DCD9BBF6D49 Old RevisionGUID=B7731758-3B90-48E6-ADF9-74525FFC2A01 New RevisionGUID=58C2A00D-8321-4E64-814A-C3FF86DDDFC4
Change Managed Component Library Link : Designator=R24 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=F67337B7-1964-4254-8A8E-397C8FD82CDB New ItemGUID=F60048A3-D561-484D-B156-4DCD9BBF6D49 Old RevisionGUID=B7731758-3B90-48E6-ADF9-74525FFC2A01 New RevisionGUID=58C2A00D-8321-4E64-814A-C3FF86DDDFC4
Change Managed Component Library Link : Designator=R29 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=F67337B7-1964-4254-8A8E-397C8FD82CDB New ItemGUID=F60048A3-D561-484D-B156-4DCD9BBF6D49 Old RevisionGUID=B7731758-3B90-48E6-ADF9-74525FFC2A01 New RevisionGUID=58C2A00D-8321-4E64-814A-C3FF86DDDFC4
Change Managed Component Library Link : Designator=R31 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=F67337B7-1964-4254-8A8E-397C8FD82CDB New ItemGUID=F60048A3-D561-484D-B156-4DCD9BBF6D49 Old RevisionGUID=B7731758-3B90-48E6-ADF9-74525FFC2A01 New RevisionGUID=58C2A00D-8321-4E64-814A-C3FF86DDDFC4
Change Managed Component Library Link : Designator=R34 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=F67337B7-1964-4254-8A8E-397C8FD82CDB New ItemGUID=F60048A3-D561-484D-B156-4DCD9BBF6D49 Old RevisionGUID=B7731758-3B90-48E6-ADF9-74525FFC2A01 New RevisionGUID=58C2A00D-8321-4E64-814A-C3FF86DDDFC4
Change Managed Component Library Link : Designator=R36 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=F67337B7-1964-4254-8A8E-397C8FD82CDB New ItemGUID=F60048A3-D561-484D-B156-4DCD9BBF6D49 Old RevisionGUID=B7731758-3B90-48E6-ADF9-74525FFC2A01 New RevisionGUID=58C2A00D-8321-4E64-814A-C3FF86DDDFC4
Change component parameters: Designator = "C3" ("C3"); Footprint = "FP-C0805C-DN-MFG"; UniqueID = "\HSHWSGNW" ("\HSHWSGNW")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "1.25mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.85mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness"; Value = "0.037inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.049inch"; VariantName = "[No Variations]"
Change component parameters: Designator = "R9" ("R9"); Footprint = "RESC2013X60X35ML10T20"; UniqueID = "\BVLUTRAM" ("\BVLUTRAM")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.yageo.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_04.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "Rev. 4, 02/2016"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.5 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "2 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "155 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "2-Pin Surface Mounted Device, Body 2 x 1.25 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "47k"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "150 V"; VariantName = "[No Variations]"
Change component parameters: Designator = "R10" ("R10"); Footprint = "RESC2013X60X35ML10T20"; UniqueID = "\KLUOCUJE" ("\KLUOCUJE")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.yageo.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_04.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "Rev. 4, 02/2016"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.5 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "2 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "155 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "2-Pin Surface Mounted Device, Body 2 x 1.25 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "47k"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "150 V"; VariantName = "[No Variations]"
Change component parameters: Designator = "R11" ("R11"); Footprint = "RESC2013X60X35ML10T20"; UniqueID = "\HDLRNSOP" ("\HDLRNSOP")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.yageo.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_04.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "Rev. 4, 02/2016"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.5 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "2 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "155 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "2-Pin Surface Mounted Device, Body 2 x 1.25 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "47k"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "150 V"; VariantName = "[No Variations]"
Change component parameters: Designator = "R14" ("R14"); Footprint = "RESC2013X60X35ML10T20"; UniqueID = "\PIDEKWZQ" ("\PIDEKWZQ")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.yageo.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_04.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "Rev. 4, 02/2016"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.5 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "2 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "155 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "2-Pin Surface Mounted Device, Body 2 x 1.25 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "47k"; VariantName = "[No Variations]"
